Model,CrinRank,CrinValue,CrinTone,CrinTech,CrinSignature,CrinComments,CrinDriver,CrinFit
Aurorus Borealis,A,2,A+,A,Neutral,"Sounds like an odd mashup of the HD600 and the Clear, in a good way.",Dynamic,Open Circumaural
HEDDphone,A,1,A,A+,Warm neutral,"An interesting in-between of DD and estat timbre, though tuning around the lower midrange may be off.",AMT,Open Circumaural
Nectar Hive,A,1,A,A,Bright neutral,"Some spiciness in the treble that is HD800-esque, but with a better midrange presentation.",Electrostatic,Open Circumaural
Hifiman Jade II,A,0,A,S-,Bass-rolled neutral,"Suffers from typical estat timbre and bass extension issues, but otherwise a very resolving and well-tuned headphone.",Electrostatic,Open Circumaural
"Stax SR-007
(Mk2.5)",A,0,A-,S+,Warm neutral,"Arguably the least wonky-sounding of the mainstream Staxes, with resolution just shy of the flagship 009.",Electrostatic,Open Circumaural
Sennheiser HD600,A-,2,S-,B+,Neutral,The legendary neutral reference. Slightly better clarity and imaging than the HD650.,Dynamic,Open Circumaural
Audio Technica ATH-R70x,A-,2,A+,B+,Warm neutral,Excellent imaging. Mostly neutral/flat tuning with an ever-so-slight tilt towards warmth.,Dynamic,Open Circumaural
Hifiman Edition X V2,A-,0,S,B+,Neutral,Excellent tonal balance though limited by blunted notes and resolution.,Planar,Open Circumaural
Stax SR-Lambda Pro,A-,0,B+,S-,Neutral,"One of the original Lambda models, and arguably the best tuned of the Lambda-styled Staxes.",Electrostatic,Open Circumaural
Hifiman Arya,A+,1,A+,S-,Bright neutral,High resolution planar that may be a little peaky in the treble for some.,Planar,Open Circumaural
Focal Clear,A+,0,S-,A+,Warm neutral,A decent Utopia alternative for thinner wallets. Slightly warmer sound may be more pleasant for some.,Dynamic,Open Circumaural
Hifiman HE1000se,A+,0,A+,S-,Bright neutral,Basically a brighter and slightly shoutier version of the OG; may be a little too intense for some.,Planar,Open Circumaural
Hifiman Shangri-La Jr,A+,0,A,S,Bright neutral,"A tad too shouty for my tastes, but far less offensive tonal characteristics than the average estat.",Electrostatic,Open Circumaural
Shure SRH440,B,3,S-,C+,Harman,Closest thing to Harman thus far. Comes with a small upper treble spike and lacking raw resolution.,Dynamic,Closed Circumaural
AKG K371,B,2,A,B-,Harman,"Expectedly Harman tuning but lacks a bit of bite in the upper midrange for ""true Harman"".",Dynamic,Closed Circumaural
Hifiman HE400i (2020),B,2,B,B,Neutral,Well-executed reference-ish tuning with a slight treble emphasis.,Planar,Open Circumaural
AKG K701,B,1,A-,B,Bright neutral,"The brightest and arguably harshest of the K7-- lineup, but still very competent overall.",Dynamic,Open Circumaural
Sennheiser HD560S,B,1,A,B-,Neutral,"Well-balanced tonality with good bass extension, just slightly hot in the upper-mids and treble.",Dynamic,Open Circumaural
Hifiman Deva,B,1,S-,C+,Neutral,"Probably the most ""mellow"" of the Hifiman planars with the least resolving ability.",Planar,Open Circumaural
Sennheiser HD660S,B,1,B,B+,Warm neutral,An even darker HD6X0. A comparatively muffled mess just barely propped up by its decent resolving ability.,Dynamic,Open Circumaural
"Beyerdynamic DT880 Pro
(32Ω)",B,1,B+,B,Warm V-shape,"Certainly a ""mini-HD800"" in terms of tonality only, however still far inferior in technical ability.",Dynamic,Open Circumaural
HarmonicDyne Zeus,B,1,B+,B,Warm,A rare combination of a warm-focused tonality with decent technicalities.,Dynamic,Open Circumaural
Sennheiser Momentum 3 Wireless,B,1,A-,B-,U-shaped,A massive improvement over its predecessor. Limited resolution and potentially intense tonality.,Dynamic,Closed Circumaural
"Beyerdynamic DT990 Pro
(250Ω)",B,1,B,B,V-shaped,Pretty bog-standard V-shaped response with forward upper-midrange and decently high resolution.,Dynamic,Open Circumaural
Beyerdynamic TYGR 300 R,B,1,B,B,V-shaped,Very reminiscent of the DT990.,Dynamic,Open Circumaural
Stax SR-L300,B,0,B,A-,Neutral,"Generally pleasing tuning, though a little honky and fatiguing in the treble.",Electrostatic,Open Circumaural
"ZMF Aeolus
(Pref. suede Universe pads)",B,0,B,A-,Bright neutral,"Tonally, a vast improvement over the Aeolus with stock pads, bringing in extra clarity and bite.",Dynamic,Open Circumaural
Hifiman HE6se,B,0,B-,A,Neutral,Comes with an odd midrange dip. It's no HE6 replacement for sure.,Planar,Open Circumaural
"Hifiman HE560
(V1)",B,0,B-,A,Neutral,"Slight wonkiness around the lower midrange, but otherwise a capable planar headphone.",Planar,Open Circumaural
Final D8000 Pro,B,0,B-,A,Bright,"Highly resolving headphone with solid imaging capabilities, limited by its somewhat wonky tonality.",Planar,Open Circumaural
Final Audio D8000,B,0,B-,A,Bright,High treble-to-midrange contrast makes things sound shrill and borderline-sibilant.,Planar,Open Circumaural
RAAL-requisite SR1a,B,0,B-,A,Neutral,"Weak, limp bass is the killing blow for what is an otherwise highly resolving and decently-tuned earspeaker.",Ribbon,Earspeaker
Focal Stellia,B,0,C+,S-,Neutral with bass boost,"""Harman-inspired"" tuning works decently well, though a myriad of small quirks ultimately screws its tonal balance.",Dynamic,Closed Circumaural
Stax SR-L700,B,0,C+,S-,Neutral,"Probably the most balanced tuning of the L-series, with the usual e-stat technicalities.",Electrostatic,Open Circumaural
"ZMF Verite Closed
(Hybrid Universe pads)",B,0,C+,S-,Neutral with bass boost,"Far more tonally balanced than its open counterpart, whilst retaining its reverberant staging.",Dynamic,Closed Circumaural
Audio Technica ATH-ADX5000,B,0,C+,S-,Bright neutral,"Clean, open sound reminsicent of the HD800, with a bit of midbass bloat and upper midrange shoutiness.",Dynamic,Open Circumaural
Stax SR-L300 Limited,B,0,C+,S-,Neutral,Honkier version of the standard L300.,Electrostatic,Open Circumaural
"Sony MDR-SA5000
(w/ AliExpress replacement pads)",B,0,B,B+,Bass-rolled neutral,Surprisingly competent for a decades-old set. Midrange is a little uneven but beats out many other modern TOTLs.,Dynamic,Open Circumaural
Hifiman HE5,B,0,B+,B,Neutral,The original Hifiman. Midrange is a little too scooped out but remains competitive even today.,Planar,Open Circumaural
Denon AH-D5000,B,0,B,B+,V-shaped,"The usual ""Foster biodyna dynamics"" are at play here, with a somewhat fatiguing treble spike.",Dynamic,Semi-open Circumaural
Kennerton Odin,B,0,B+,B,Warm neutral,"Generally ""okay"" tonality with some odd dips here and there. Lacking serious extension for a planar.",Planar,Open Circumaural
Kennerton Thror,B,0,B+,B,Warm neutral,"Kind of a ""nothing headphone""; not bad, not great, just good enough to be okay.",Planar,Open Circumaural
Focal Radiance,B,0,B+,B,Harman neutral,"Probably the best of the closed-back Focals. Some tuning refinements over the Stellia, though technically limited.",Dynamic,Closed Circumaural
Focal Clear Mg,B,0,B-,A-,Warm neutral,Lacks upper mids and resolution compared to its predecessor.,Dynamic,Open Circumaural
Audeze LCD-XC,B,0,B-,A-,"""Balanced""","Definitely the least Audeze-sounding Audeze. A little quirky tonally, but nothing too offensive.",Planar,Closed Circumaural
Focal Elear,B,0,B-,A-,Warm neutral,Subdued upper midrange with the odd treble spike makes this a weird headphone to listen to.,Dynamic,Open Circumaural
Meze Empyrean,B,0,B,B,Warm,Bland and unexciting tuning with compressed staging and generally underperforming technicalities.,Planar,Open Circumaural
Koss KSC75,B-,3,A,C,Bass-rolled neutral,Non-existent sub-bass and poor resolution. But it's so well-tuned you may not even care.,Dynamic,Open Clip-on
Sivga Phoenix,B-,1,B+,B-,Warm neutral,A fairly competent warm-neutral monitor slightly held back by limited detail retrieval.,Dynamic,Open Circumaural
Audio Technica ATH-M70x,B-,1,B,B-,Neutral,The most neutral of the M-series. Good tonality but still suffers from narrow imaging.,Dynamic,Closed Circumaural
Sennheiser HD25 Plus,B-,1,B,B-,U-shaped,"Punchy, energetic sound with decently balanced tonality. A pretty good beat-tracking monitor.",Dynamic,Closed Supra-aural
BLON B20,B-,1,A,C,Warm neutral,"Basically a darker planar HD6X0, with equally closed-in staging and lacking the final resolving edge.",Planar,Open Circumaural
Massdrop x Koss ESP/95X,B-,1,C,A,Mid-centric,"Good resolving ability and imaging, marred by its odd and honky midrange.",Electrostatic,Open Circumaural
ASTRO A40 TR,B-,1,B+,C+,Warm V-shape,"Middling technicalities, but for a gaming headphone its tonality is surprisingly balanced.",Dynamic,Closed Circumaural
Audio Technica ATH-M40x,B-,1,A-,C,Neutral with bass boost,Well-balanced tonality with disappointing detailing and claustrophobic imaging.,Dynamic,Closed Circumaural
Moondrop Void,B-,1,A-,C,Warm neutral,"Slightly midbass/lower-mid emphasised with good tonal balance, if rather ""cheap""-sounding.",Dynamic,Open Circumaural
E-MU Walnut,B-,1,B-,B-,"""Balanced""","Tonality is somewhat off with peaks and dips here and there, but overall not a bad sounding headphone.",Dynamic,Closed Circumaural
"Hifiman HE500
(w/ FocusPad-A)",B-,0,B+,B-,Warm neutral,Perhaps the warmest of the Hifiman lineup. Not the most resolving.,Planar,Open Circumaural
Audeze LCD-24,B-,0,C,S-,Warm neutral,"A slight tonal improvement over the LCD-4, but also comes with a slight hit in resolution.",Planar,Open Circumaural
"Abyss Diana Phi
Abyss Diana V2",B-,0,C,A+,Warm,Needs a little more upper midrange to balance out the honkiness. Good dynamic performance especially in the bass.,Planar,Open Circumaural
Audeze LCD-X (2021),B-,0,C,A+,Warm neutral,"Tonally, a massive improvement over the previous version(s) though with the usual pitfalls of the Audeze house sound.",Planar,Open Circumaural
Denon AH-D5200,B-,0,B-,B,Warm neutral,Probably the least wonky of the new Denons. Suffers from some mid-bass bloat.,Dynamic,Closed Circumaural
"Beyerdynamic DT1990 Pro
(Balanced pads)",B-,0,B-,B,Warm V-shape,"An intense sound given its significant treble boost, but countered by a smooth lower-midrange bump.",Dynamic,Open Circumaural
Audeze LCD-GX,B-,0,C,A,Warm neutral,"As a gaming headphone, possibly the best technically though with the usual pitfalls of the Audeze house sound.",Planar,Open Circumaural
Audeze LCD-2 Closed-back,B-,0,C,A,Warm V-shape,"Not the worst Audeze in terms of tonality, but its tuning still doesn't live up to its technical capabilities.",Planar,Closed Circumaural
Audeze LCD-2 Classic,B-,0,C,A,Warm,Classic Audeze combo of solid resolution with a confusing lack of upper midrange.,Planar,Open Circumaural
Apple AirPods Max,B-,0,B+,C+,U-shaped,"Great tonality, sub-focused bass emphasis, bassy without being muddy. Average imaging and resolution.",Dynamic,Closed Circumaural
"ZMF Verite
(Pref. lambskin Verite pads)",B-,0,C-,S-,Warm,Excellent resolution unfortunately marred by suppressed harmonics and a harsh upper-midrange.,Dynamic,Open Circumaural
ES Lab ES-1a,B-,0,C-,S-,Bright neutral,"Seems inspired by the tuning of the SR-009 with some minor improvements, though not enough to call it ""good"".",Electrostatic,Open Circumaural
Fostex TR80,B-,0,A+,C-,Neutral with bass boost,"A very well-tuned monitor-style headphone, if heavily bottlenecked by narrow imaging and blunt hits.",Dynamic,Open Circumaural
AKG K612 Pro,B+,3,S-,B,Neutral,"Basically dead-neutral tuning, emphasis on ""dead"". Strong all-rounder whose only fault is not having that ""wow-factor"".",Dynamic,Open Circumaural
Sennheiser HD650/HD6XX,B+,3,A+,B,Warm neutral,"The legendary neutral reference. ""Veiled"" with a warm tilt (in comparison to HD600), and pretty terrible at imaging.",Dynamic,Open Circumaural
Shure SRH840,B+,3,A+,B-,V-shaped,Extremely well-executed V-shaped tuning with no erronous peaks or dips. More mid-bassy than sub-bassy.,Dynamic,Closed Circumaural
Hifiman Sundara,B+,2,A+,B,Neutral,Solid tuning with a little treble spiciness for the daring. One of the better midrange planars out there.,Planar,Open Circumaural
Moondrop Para,B+,2,A+,B,Neutral,,Planar,Open Circumaural
AKG K702,B+,2,A,B,Mid-centric,Slightly more upper-mid-forward (read: shoutier) version of the K612.,Dynamic,Open Circumaural
Hifiman Ananda,B+,1,S-,B,Neutral,"One of the best tuned headphones available, only limited by its raw resolving ability.",Planar,Open Circumaural
Fostex TH610,B+,1,B+,A-,Mild V-shape,The most neutral of the Foster biodyna models. If you want a little more balance than the Teaks.,Dynamic,Closed Circumaural
E-MU Teak,B+,1,B+,A-,V-shaped,"Excellent dynamics with one of the best bass I've heard in a headphone, though the midrange can be a little harsh.",Dynamic,Semi-open Circumaural
Shure SRH1540,B+,1,A,B,Neutral with bass boost,"Almost ""Harman"" tuning with some undesirable mid-bass bloat.",Dynamic,Closed Circumaural
"Stax SR-404
Stax SR-404 Limited",B+,0,B,S-,Neutral,Similar tuning to that of the Lambda Pro. Sonically identical between 404 and 404LE.,Electrostatic,Open Circumaural
Stax SR-507,B+,0,B,S-,Neutral,Similar tuning to that of the Lambda Pro.,Electrostatic,Open Circumaural
Hifiman HE6,B+,0,B,S-,Bright neutral,"Clean, resolving yet intense sound scratches the detail itch but is a little too edgy for long listens.",Planar,Open Circumaural
Stax SR-4070,B+,0,B,S-,Mid-centric,Surprisingly wide and spacious soundstage for a closed-back. Good low-end extension but rather shouty.,Electrostatic,Closed Circumaural
"ZMF Auteur
(Teak)
(pref. lambskin Auteur pads)",B+,0,A,B+,Bright neutral,Very pleasant tonality but lacking that last bit of definition for true top-tier status.,Dynamic,Open Circumaural
Sennheiser HD800/HD800S,B+,0,B-,S,Bright neutral,"Arguably the king of soundstage and raw detail, though at the cost of its infamous treble spike.",Dynamic,Open Circumaural
Beyerdynamic T70,B+,0,A,B,Bright neutral,"Treble peak may offend some, but otherwise very well balanced and natural tonality with decent technicalities.",Dynamic,Closed Circumaural
MrSpeakers Ether C,B+,0,A,B,DF-neutral,"Forward, in-your-face sound that's shouty and thin at the same time. A good reference for ""true DF neutral"".",Planar,Closed Circumaural
Stax SR-L500,B+,0,B-,S-,Neutral,Generally pleasing tuning with a little honkiness in the centre-midrange.,Electrostatic,Open Circumaural
Sennheiser HD599,C+,1,B,C+,V-shaped,"A little too sharp, a little too midbassy, but overall not the most offensive headphone out there.",Dynamic,Open Circumaural
Massdrop x AKG K7XX,C+,1,C+,B,Warm,A more bloated-sounding K712.,Dynamic,Open Circumaural
HarmonicDyne Helios,C+,1,B,C+,V-shaped,Lack of bass extension is its biggest dealbreaker of what would be an otherwise solid headphone.,Dynamic,Open Circumaural
1MORE MK801,C+,1,A-,C-,Neutral with bass boost,"Smooth, generally pleasing tonality throughout with no offensive characteristics.",Dynamic,Closed Circumaural
Sennheiser HD579,C+,1,B,C,Warm neutral,More or less a HD599 with slightly worse resolution.,Dynamic,Open Circumaural
Acoustic Research AR-H1,C+,0,C+,B,Neutral,"A tempered, almost bright-leaning planar (but not quite). Decent tonality and technical ability.",Dynamic,Open Circumaural
Beyerdynamic T5p (1st Gen),C+,0,C+,B,V-shaped,"Choppy midrange response is its biggest turnoff, but otherwise a decent V-shaped headphone.",Dynamic,Closed Circumaural
Timsok TS-1024,C+,0,C+,B,Warm V-shape,Somewhat warm midrange plagued with sharp and offensive treble.,Planar,Open Circumaural
Sendy Aiva,C+,0,B,C+,Warm neutral,"A slightly worse-tuned B20, kinda.",Planar,Open Circumaural
AKG K712 Pro,C+,0,C+,B,Warm,Sizeable mid-bass bloat that's barely reigned in by an equally sizeable upper-midrange emphasis.,Dynamic,Open Circumaural
Fostex TH7,C+,0,B+,C,Neutral,Fairly neutral monitor-style headphone with poor imaging and detail retrieval.,Dynamic,Closed Circumaural
Sony MDR-Z1R,C+,0,C,B+,V-shaped,Holes in the midrange. Big spike in the treble. Strangely disjointed soundstage. Decently resolving.,Dynamic,Closed Circumaural
Fostex TH900,C+,0,C-,A,V-shaped,Spicy sibilance and bloated bass are disappointments in what is otherwise an extremely dynamic headphone.,Dynamic,Closed Circumaural
DCA Aeon 2 Closed,C+,0,B+,C,U-shaped,Passable tonality with dulled and blunted transients make for lacklustre detailing.,Planar,Closed Circumaural
Stax SR-009/SR-009S,C+,0,D+,S+,Bright neutral,"Detail and resolution worthy of being called ""the best"", marred by the tonally-off midrange.",Electrostatic,Open Circumaural
Audeze LCD-4,C+,0,D+,S,Warm,A classic example of a highly resolving yet wonky sounding headphone. Needs more upper midrange.,Planar,Open Circumaural
Sony MDR-MA900,C+,0,C+,B-,Bass-rolled neutral,Imaging as expected of an earspeaker configuration; surprisingly good tonality and expected bad extension.,Dynamic,Earspeaker
Fostex TH909,C+,0,C-,A-,V-shaped,A slightly more balanced TH900 with similar sibilance issues.,Dynamic,Open Circumaural
Neumann NDH 20,C+,0,C+,B-,Neutral with bass boost,Feels like an attempt at Harman but ultimately missing the mark in the midrange tuning.,Dynamic,Closed Circumaural
Rosson RAD-0,C+,0,C,B,Warm neutral,Middling technicalities with suppressed upper midrange.,Planar,Open Circumaural
Sony MDR-1AM2,C+,0,B,C,Warm U-shape,Harman-ish tuning with a strong mid-bass presence and piercing upper treble response.,Dynamic,Closed Circumaural
"Abyss AB-1266 Phi CC
Abyss AB-1266 Phi",C+,0,D+,A+,"""Balanced""","Sinfully addictive bass and treble reponse, but the midrange tonality needs a lot of work.",Planar,Open Circumaural
Audeze LCD-MX4,C+,0,D+,A+,Warm,Classic Audeze combo of solid resolution with a confusing lack of upper midrange.,Planar,Open Circumaural
Hifiman HE5SE,C+,0,D+,A,V-shaped,"Strong contender for an excellent headphone, if not for the inexplicable hole in the mids.",Planar,Open Circumaural
Sony MDR-CD380,C+,0,C+,C+,DF-neutral,"Shouty and thin-sounding, though surprisingly competent imaging ability.",Dynamic,Closed Circumaural
Hifiman Susvara,S,1,S,S,Neutral,Subtle refinements to the already-great HE1000 makes this arguably the best planar in the world.,Planar,Open Circumaural
Sennheiser HE-1,S,0,S+,S,Harman neutral,"Mostly neutral, slight bass lift, highly resolving and natural both in tone and timbre. The world's best headphone.",Electrostatic,Open Circumaural
Focal Utopia,S-,1,S,S-,Neutral,Solid tuning with close to top-tier resolution. An inoffensive all-rounder that lives up to its reputation.,Dynamic,Open Circumaural
"Hifiman HE1000
(V2)",S-,0,S,S-,Neutral,"A planar that comes unnervingly close estat speed, but not quite. Solid technicalities with excellent tone.",Planar,Open Circumaural
