ID,Brand,Model,Category,Search Query,Manufacturer URL,Notes
f1292f73-306b-4d1e-a983-626da308c035,Hifiman,HE6se,cans,"""Hifiman HE6se"" site:hifiman.com",,Pattern validation failed
9a38f7b1-ab80-438f-9e90-8ff0ea82a3f2,Sony,Z1R,iems,"""Sony Z1R"" site:sony.com",,No pattern available
bd53718a-7081-4cc9-8724-9906eb8c4888,qdc,Anole V14,iems,"""qdc Anole V14"" official product page",,No pattern available
458c49f0-27e7-4203-881a-c8a7dae08195,Sendy,Aiva,cans,"""Sendy Aiva"" official product page",,No pattern available
e72288e4-6142-4703-abb9-c4faa3723a0d,Hidition,Violet,iems,"""Hidition Violet"" official product page",,No pattern available
5280a304-f3fe-4b31-a3eb-ec5af40692f7,ThieAudio,Excalibur,iems,"""ThieAudio Excalibur"" official product page",,No pattern available
a65899b7-72e5-4689-af2d-6ddd8fd69d2d,Dita,Dream XLS,iems,"""Dita Dream XLS"" official product page",,No pattern available
d4efa72e-3956-4227-834e-0f14eaa1acbf,Ultimate Ears,Reference Monitor (UERM),iems,"""Ultimate Ears Reference Monitor (UERM)"" official product page",,No pattern available
93eab2c4-d508-4e6b-8ad6-7bc16a126013,ThieAudio,Clairvoyance,iems,"""ThieAudio Clairvoyance"" official product page",,No pattern available
ffee820a-acfc-4b4b-ad4f-36c2100f8b72,Vision Ears,Erlkonig,iems,"""Vision Ears Erlkonig"" official product page",,No pattern available
fd8daf38-e882-4ee4-a861-f82a2b6a463b,HarmonicDyne,Helios,cans,"""HarmonicDyne Helios"" official product page",,No pattern available
4852ab6c-19ea-4eab-a760-c1370ebb3cbf,Kumitate,KL-Sirius,iems,"""Kumitate KL-Sirius"" official product page",,No pattern available
3d0df0e5-28be-4ae2-a38b-21d432c77d47,Drop x JVC,HA-FDX1,iems,"""Drop x JVC HA-FDX1"" official product page",,No pattern available
17e2db1d-42cc-4fe4-8681-33737c673601,Kiwi Ears,Orchestra,iems,"""Kiwi Ears Orchestra"" official product page",,No pattern available
e24eb7cb-d829-47dd-9aff-f0b1a808376a,Massdrop x Noble,Kaiser 10,iems,"""Massdrop x Noble Kaiser 10"" official product page",,No pattern available
45f062c1-71dc-4e84-a28a-2d60848d1fee,JVC,HA-FD02,iems,"""JVC HA-FD02"" official product page",,No pattern available
726bfcc5-38f7-4115-acff-d7fc4c201f32,Kennerton,Thror,cans,"""Kennerton Thror"" official product page",,No pattern available
b2ba8acb-5b21-4e09-9cee-07a1d010ceb0,64 Audio,A/U12t,iems,"""64 Audio A/U12t"" site:64audio.com",,No pattern available
18edc7dc-a3fb-4edb-8579-36b9c7740937,LETSHUOER,MYSTIC 8,iems,"""LETSHUOER MYSTIC 8"" official product page",,No pattern available